 ”,w
断裂带,n
断流,v
断路器,n
断面,n
断木,b
断奶,v
断然,b,d
断送,v
断言,v
断枝,n
断指裂肤,l
断钻,n
缎带,n
堆,q,v,n,k
堆放,vn,v
堆积,vn
堆积体,n
堆起,v
堆砌,v
堆相,nr
兑,v
兑付,vn,v
兑换,v,vn
兑换率,n
兑现,v
兑现率,n
队,n,n]nt,q
队长,n
队列,n
队伍,n
队形,n
队医,n
队友,n
队员,n
队组,n
对,p,v,q,a
对比,vn,v
对比性,n
对不起,v
对簿公堂,i
对策,n
对唱,vn,v
对称,a,ad
对冲,vn
对此,l,d
对待,v,vn
对得起,v
对等,vn
对敌,v,vn
对方,n
对付,v
对歌,v
对公,vn
对话,vn,v
对话费,n
对话性,n
对接,v,vn
对襟,n
对劲儿,a
对抗,v,vn
对抗赛,n
对抗性,n
对抗战,n
对口,ad,a,n,v
对垒,v
对立,v,vn
对立面,n
对立物,n
对联,n
对了,l
对路,a
对面,f,n
对内,d,vn
对视,vn,v
对手,n
对数,n
对头,a
对外,vn,vd,v
对外开放,l
对外贸易,l
对外商,n
对象,n
对应,v
对应物,n
对于,p
对照,v,vn
对阵,vn,v
对症下药,i
对峙,vn,v
对撞,v
对撞机,n
对准,v
对子,n
对弈,v
墩,Ng
吨,q
吨／日,q
吨公里,q
吨粮田,j
吨粮县,n
吨位,n
蹲,v
蹲点,v
敦邦,nr
敦促,v
敦夫,nr
敦煌,ns
敦煌学,n
敦康,nr
敦请,v
敦书,nr
敦信,nr
敦训,nr
敦一,nr
敦颢,nr
顿,q,Dg
顿河,ns
顿然,d
顿生,v
顿时,d
顿悟,vn,v
顿珠次仁,nr
囤,v
盾,q
盾牌,n
哆嗦,v
多,a,d,m,ad,Ng,v,an
多半,d,m
多边,b
多变,z
多彩多姿,l
多彩缤纷,l
多层次性,n
多次,m,d
多党制,n
多迪克,nr
多多,v,d,z
多多的,z
多多益善,i
多恩布什,nr
多发,v
多发病,n
多发期,n
多方,d,r
多方位,b
多富,nr
多哥,ns
多寡,n
多管齐下,l
多吉才让,nr
多极,n
多极化,v,vn
多角度,n
多久,r
多抗,b
多科性,n
多快好省,l
多亏,v
多拉,nr
多兰,nr
多类型,b
多利,nz
多粒子,n
多良,nr
多伦多,ns
多么,d
多媒体,n
多门,b
多明戈·西亚松,nr
多谋善断,i
多谋善算者,n
多年,m
多年生,b
多情,an
多渠道,l
多少,r
多式,b
多事之秋,i
多数,m
多数票,n
多糖,n
多头,n
多样,m,a
多样化,v,vn
多样式,b
多样性,n
多于,v
多余,a,v
多元,b
多元化,vn,vd,v
多元论,n
多元性,n
多云到阴,l
多云间阴,l
多灾多难,l
多者,n
多智善谋,l
多种,m
多种多样,l
多重,a
多姿多彩,l
多子,n
多子多孙,n
多瑙河,ns
夺,v
夺标,v
夺得,v
夺丰收,vn
夺冠,v
夺金,j
夺眶而出,i
夺魁,v,vn
夺目,a,v
夺取,v
夺走,v
躲,v
躲避,v
躲藏,v
躲开,v
躲闪,v
朵,q
朵朵,q
跺,v
跺脚,v
剁,v
惰性,n
堕落,v,vn
堕入,v
峨眉泉,n
鹅,n
鹅卵石,n
鹅毛大雪,i
俄,j
俄方,n
俄国,ns
俄军,j
俄罗斯,ns
俄罗斯队,nt
俄罗斯族,nz
俄通社,j,nt
俄文,nz
俄新社,nt
额,n
额度,n
额尔敦陶吐格,nr
额手称庆,i
额头,n
额外,b
娥国,nr
恶,a,ad
恶霸地主,n
恶臭,n
恶果,n
恶化,v,vn
恶劣,a,an
恶心,a
恶性,d,b
恶性循环,i
恶言,n
恶意,n
恶语,n
厄尔尼诺,nz,n
厄瓜多尔,ns
厄加勒斯角,ns
厄立特里亚,ns
厄运,n
扼,Vg
扼守,v
扼制,v
扼住,v
遏止,vn,v
遏制,vn,v
鄂,nr,j
鄂城,n
鄂尔多斯,nz
鄂伦春,ns
鄂伦春族,nz
鄂温克,ns
鄂温克旗,ns
鄂温克族,nz
鄂湘,nr
鄂州市,ns
饿,v,a
恩,Ng
恩宝,nr
恩仇,n
恩赐,vn
恩德,n
恩登,nr
恩格尔,nr
恩格斯,nr
恩古巴尼,nr,ns
恩华,nr
恩晋,nr
恩科,nr
恩来,nr
恩茂,nr
恩米,nr
恩培,nr
恩情,n
恩人,n
恩施,ns
恩施市,ns
恩施州,ns
恩斯特·曼德尔,nr
恩苏尔,nr
恩勇,nr
恩宇,nr
恩怨,n
恩重如山,i
恩佐,nr
而,c
而达,nr
而后,d,c
而今,d
而立之年,i
而且,c
而实,nr
而是,c,v
而外,u
而言,u
而已,y
儿,Ng
儿科,n,n]nt
儿女,n
儿时,t
儿孙,n
儿孙满堂,i
儿童,n
儿童村,n,n]nt
儿童剧,n
儿童伞,n
儿童书,n
儿童文学,l
儿童文学家,n
儿媳,n
儿媳妇,n
儿戏,n
儿子,n
耳,n,Yg
耳背,a
耳边,s
耳边风,n
耳聪,n
耳朵,n
耳根,n
耳机,n
耳科,n
耳聋,vn,v
耳鸣,vn,v
耳目一新,i
耳熟能详,i
耳顺,v
耳提面命,i
耳听八方,i
耳听为虚,l
耳闻,v
耳闻目睹,i
耳细胞,n
耳坠,n
耳濡目染,i
尔冬,nr
尔后,c
尔均,nr
尔青,nr
尔山,nr
尔重,nr
尔兹,nr
洱海,ns
二,m,nr
二○○○年,t
二○○二年,t
二○○三年,t
二把手,n
二百,m
二百八十六,m
二百八十万,m
二百二十八,m
二百二十五,m
二百二十五点九,m
二百九十九,m
二百零八,m
二百零八点二,m
二百零六,m
二百零七,m
二百零三,m
二百六十四,m
二百三十,m
二百三十五,m
二百四十,m
二百四十八万,m
二百万,m
二百五十,m
二百五十八亿,m
二百五十四,m
二百五十五,m
二百一十三,m
二百一十五,m
二产,j
二次大战,nz
二等,b
二等功,n
二等奖,n
二点八万,m
二点八亿,m
二点二七,m
二点六三万,m
二点三万,m
二点四亿,m
二点五,m
二分之一,m
二宫乡,ns
二号机,n
二胡,n
二话没说,l
二黄,n
二机部,j
二级,b
二级化,v
二来,c
二郎,nr
二老,n
二里头,ns
二流子,n
二难,b
二炮,j
二期,b
二七区,ns
二汽,j
二千,m
二千二百零一点八,m
二千二百万,m
二千九百一十二万,m
二千零五十,m
二千六百五十五,m
二千五百七十五点八三万,m
二轻,j
二轻局,j]nt,j
二泉映月,nz
二人转,n
二日,t
二三,m
二三百,m
二三流,b
二三千,m
二三十,m
二三万,m
二三月,t
二三月份,t
二审,b
二十,m
二十八,m
二十八分,t
二十八日,t
二十二,m
二十二点八万,m
二十二日,t
二十分,t
二十几,m
二十九,m
二十九日,t
二十六,m
二十六点六万,m
二十六七,m
二十六日,t
二十七,m
二十七点六亿,m
二十七日,t
二十七万,m
二十七亿,m
二十日,t
二十三,m
二十三点一九,m
二十三日,t
二十时,t
二十四,m
二十四日,t
二十万,m
二十五,m
二十五日,t
二十一,m
二十一点五亿,m
二十一日,t
二十一万,m
二时,t
二手,b
二万,m
二为,j
二五,m
二氧化碳,n
二元,b
二月,t
二月份,t
二则,c
二战,j
二者,r
二中,j]nt
二中全会,j
二重奏,n
发,v,Ng,Vg,q
发案,vn,v
发案地,n
发案率,n
发包,v
发表,v,vn
发斌,nr
发病,v,vn
发病率,n
发布,v,vn
发布会,n
发财,v
发财梦,n
发菜,n
发钞,vn
发愁,v
发出,v,vn
发达,a,an
发达国家,l
发达县,n
发大财,v
发电,vn,v
发电场,n
发电厂,n]nt,n
发电机,n
发电机组,n
发电站,n
发动,v
发动机,n
发抖,v
发放,v,vn
发放量,n
发奋,v
发奋图强,i
发福,v
发稿,v,vn
发给,v
发光,v
发号施令,i
发横财,l
发乎,v
发话,v
发挥,v,vn
发货,v
发迹,v
发吉,nr
发家,v
发酵,v,vn
发酵仓,n
发旧,v
发掘,v,vn
发觉,v
发卡,n
发科,nr
发奎,nr
发来,v
发廊,n
发冷,v
发亮,v
发令,v
发霉,v
发明,vn,n,v
发明地,n
发明家,n
发明奖,n
发明人,n
发票,n
发起,v,vn
发起人,n
发起者,n
发强,nr
发清,nr
发情,vn,v
发球,v,vn
发球线,n
发热,v
发人深省,i
发人深思,l
发荣,nr
发散,v
发烧,v
发烧友,n
发射,v,vn
发射场,n]ns,n
发射塔,n
发射台,n
发声,v
发生,v,vn
发生率,n
发生器,n
发誓,v
发售,vn,v
发送,v
发送量,n
发酸,v
发文,v
发问,v
发现,v,vn,n
发祥地,n
发祥之地,i
发泄,v
发信,v
发型,n
发型师,n
发行,v,vn
发行部,n
发行科,n]nt
发行量,n
发行史,n
发行网,n
发行业,n
发行员,n
发行者,n
发勋,nr
发芽,v
发芽率,n
发言,v,vn
发言权,n
发言人,n
发言者,n
发炎,v
发扬,v,vn
发扬光大,i
发痒,v
发音,vn,n,v
发育,v,vn
发源地,n
发运,v
发运人,n
发债,vn
发展,vn,v,n
发展观,n
发展局,n]nt
发展期,n
发展前途,n
发展商,n
发展社会学,n
发展史,n
发展署,n]nt
发展司,n]nt
发展性,n
发展中国家,l
发涨,v
发证,vn
发自,v
发作,v
罚,v
罚金,n
罚款,n,v,vn
罚没,v
罚没款,j
筏基,n
伐木,v
乏,Vg
乏力,a
乏味,a
阀,n
法,j,n,Ng,nr
法案,n
法宝,n
法比奥·穆西,nr
法比尤斯,nr
法餐,n
法场,n
法成,nr
法典,n
法定,b
法方,n
法工委,j]nt
法共,j
法官,n
法光,nr
法规,n
法规性,n
法国,ns
法国队,nt
法国史,n
法国式,b
法纪,n
法拉本多·马蒂,ns
法拉第,nr
法拉美穗,n
法兰克福,ns
法兰西,ns
法兰西共和国,ns
法郎,n,q
法老王,nr
法乐氏联症,nz
法雷,nr
法里斯·伊德,n
法例,n
法令,n
法鲁克·卡杜米,nr
法律,n
法律界,n
法律系,n]nt
法权,n
法人,n
法人股,n
法融,nr
法商,n
法术,n
法庭,n,n]nt
法网,n
法务,n
法西斯,n,nz
法新社,nt,j
法学,n
法学会,n]nt
法学院,n]nt
法医,n
法医院,n]nt
法语,nz
法院,n,n]nt
法则,n
法制,n
法制化,vn,v
法制局,n]nt
法治,n
法子,n
法箴,nr
帆,nr,n
帆板,n
帆船,n
帆影,n
番,q
番号,n
番茄,n
番禺市,ns
翻,v
翻版,vn,n
翻本,v
翻车,v
翻番,v
翻翻,v
翻飞,v
翻供,v
翻滚,v
翻过,v
翻卷,v
翻开,v
翻来覆去,i
翻两番,l
翻毛,b
翻山越岭,i
翻身,v,vn
翻腾,v
翻新,vn,v
翻译,n,v,vn
翻译家,n
翻印,v
翻越,v
翻阅,v
翻云覆雨,i
翻转,v
樊,nr
繁多,a
繁花似锦,i
繁华,a
繁华似锦,l
繁忙,a
繁茂,a
繁荣,a,an,vn,v
繁荣昌盛,i
繁荣党,n,n]nt
繁荣富强,i
繁森,nr
繁琐,a,an
繁体,n
繁体字,n
繁文,nr
繁星,n
繁衍,v
繁育,v,vn
繁杂,a
繁殖,v,vn
繁种,vn
繁重,a
凡,d,r,nr
凡堡村,ns
凡尔赛,ns
凡贵,nr
凡间,s
凡茂,nr
凡人,n
凡事,n
凡是,d,v
凡恺,nr
凡煦,nr
烦,v,a
烦乱,a
烦恼,an,a
烦扰,vn
烦心,a
烦躁,a
反,v,d
反扒,vn
反败为胜,i
反差,n
反常,a
反串,v
反唇相讥,i
反弹,v,vn
反党,vn,v
反倒,d
反帝,v,vn
反调,n
反动,a
反动派,n
反对,v,vn
反对党,n,n]nt
反对派,n
反对票,n
反而,d
反反复复,i
反方,n
反讽,vn
反腐倡廉,l
反复,d,v,vn
反复性,n
反感,an,a
反革命,n
反攻,v
反共,v
反光镜,n
反过来,d
反华,vn
反悔,v
反击,v,vn
反季节,b
反劫,vn
反抗,v
反馈,v,vn
反垄断法,n
反面,b,n
反面人物,l
反目成仇,i
反其道而行之,i
反潜,vn
反射,vn,v
反射光,n
反省,vn,v
反思,vn,v
反贪,vn
反托拉斯法,n
反问,v
反响,n
反应,vn,v
反应堆,n
反映,v,vn
反正,d
反之,c
反作用,n
返,v
返程,n
返光镜,n
返航,v
返还,v
返回,v,vn
返聘,v
返乡,vn,v
返销,v
返校,vn,v
范,nr
范畴,n
范戴肯,nr
范例,n
范罗斯特,nr
范式,n
范式化,vn,v
范围,n
范园,nr
贩,v
贩毒,vn,v
贩毒者,n
贩黄,v
贩卖,v
贩枪,vn
贩运,vn,v
贩子,n
犯,v
犯案,v
犯愁,v
犯法,v
犯规,v
犯难,v
犯人,n
犯人照,n
犯下,v
犯罪,v,vn,n
犯罪分子,n
犯罪感,n
犯罪率,n
犯罪人,n
犯嘀咕,l
饭,n,Vg
饭菜,n
饭店,n]ns,n
饭店化,v
饭馆,n
饭盒,n
饭来张口,i
饭粒,n
饭前,t
饭碗,n
饭庄,n
饭桌,n
泛,v,h
泛滥,v,vn
泛起,v
泛区,ns
泛谈,v
泛亚,j
泛舟,v
坊,Ng
芳,Ag,nr
芳草,n
芳草地,n
芳村,ns
芳发,nr
芳琴,nr
芳香,n
方,q,nr,d,Ng,f
方案,n
方柏,nr
方便,an,a,v,ad
方便面,n
方便面碗,n
方便之门,i
方才,d,t
方城,n
方城县,ns
方定,nr
方队,n
方法,n
方法论,n
方方面面,n
方格,n
方盒,n
方可,v,d
方块,n
方略,n
方面,n,c
方面军,n,n]nt
方平,nr
方仁,nr
方山,ns
方山县,ns
方生,nr
方式,n
方塘,n
方田,nr
方位,n
方向,n
方向盘,n
方向性,n
方兴未艾,i
方形,n
方言,n
方殷,nr
方圆,n,nr
方针,n
方阵,n
方正,nz]nt,nz
方之,nr
方柱,n
方庄,ns
房,n,nr
房产,n
房地,n
房地产,j
房地产权,n
房地产热,n
房地产商,n
房地产业,n,j
房顶,n
房东,n
房改,v,vn
房改办,j
房管,vn
房价,n
房间,n
房款,n
房梁,n
房龙,nr
房门,n
房前,s
房山,ns
房山区,ns
房事,n
房市,n
房屋,n
房县,ns
房源,n
房主,n
房子,n
房租,n
防,v
防癌,vn,v
防办,j
防备,v
防病,v,vn
防不胜防,i
防潮,vn
防城,ns
防城港,ns
防虫,vn
防盗,v,vn
防盗门,n
防盗器,n
防冻,vn
防冻棚,n
防毒,v
防范,v,vn
防风,vn
防腐,vn
防腐厂,n]nt
防寒,vn
防寒屋,n
防洪,vn,v
防洪法,n
防护,vn,v
防护林,n
防护衣,n
防患于未然,i
防火,v,vn
防假,v
防骄破满,l
防劫,vn
防空洞,n
防涝,vn
防区,n
防晒霜,n
防渗,vn
防渗墙,n
防守,vn,v
防水,v
防微杜渐,i
防伪,vn,v
防卫,vn,v
防务,n
防险,vn
防线,n
防汛,vn,v
防疫,vn
防御,v,vn
防御区,n
防御性,n
防灾,vn
防灾费,n
防震,vn,v
防震棚,n
防止,v
防治,vn,v,n
防总,j]nt
妨碍,v
妨害,v
仿,n,v
仿佛,d,v
仿古,v
仿画,n
仿冒,v
仿生,b
仿效,v
仿造,v,vn
仿章,n
仿照,v
仿制,v,vn
仿制品,n
仿制者,n
仿字,n
访,v
访华,v,vn
访华团,n
访贫问苦,i
访谈,vn
访谈录,n
访问,vn,v
访问记,n
访问率,n
访问团,n
访问者,n
访友,v
纺,v
纺锭,n
纺纱,v
纺织,n,vn,v
纺织厂,n]nt
纺织界,n
纺织品,n
纺织业,n
放,v,nr
放出,v
放大,v
放大镜,n
放贷,v
放贷人,n
放荡不羁,i
放到,v
放电,vn
放电影,vn
放飞,v
放风,v
放歌,v
放缓,v
放活,v
放火,v
放假,v
放开,v,vn
放宽,v
放浪,v
放慢,v,vn
放炮,v
放弃,v
放权,v
放任自流,i
放哨,v
放射,v
放射性,n
放声,d
放手,v,vd
放水,v
放肆,an,a
放松,a,v,vn
放下,v
放心,v,vn,vd
放行,v
放行率,n
放学,v
放眼,v
放眼世界,i
放羊,v
放养,v
放映,v
放映队,n]nt
放在,v
放在眼里,l
放置,v
放逐,vn
放纵,v
菲,j,nr
菲尔曼·辛佐伊海巴,nr
菲赫里,nr
菲拉利,nr
菲律宾,ns
菲央行,j
非,h,nr,d,Vg,j,b
非饱和,vn,b
非暴力,n
非常,d,b
非常规,b
非船,b
非船舶,b
非单位体制,n
非但,c
非地震,b
非法,d,b,an,a
非法定,b
非凡,z
非分之想,i
非工程,b
非公务,b
非公有,b
非公有制,b
非关税,b
非官方,b
非国大,j
非国有,vn
非互惠,b
非价格,b
非金融,b
非经济,b
非经营性,b
非警务,b
非竞赛类,n
非均衡,b
非理性,b
非礼,b
非良性,b
非领导职务,b
非贸易,b
非农,b,j
非农产业,n
非农业,b
非请莫入,l
非上市,b
非生产性,b
非生命,n
非市场,b
非同小可,i
非同寻常,l
非西方,b
非一日之寒,i]i
非遗传性,b
非艺术,b
非意愿,b
非议,vn,v
非银行,b
非营利,b
非盈利,b
非正常,b
非正式,d,b
非政府,b
非政治性,b
非智力,b
非洲,ns
非专科,b
非专业,b
非自身,b
飞,v,nr,Dg
飞奔,v
飞播,v
飞车,n
飞驰,v
飞船,n
飞抵,v
飞渡,v
飞夺,v
飞过,v
飞狐,n
飞虎队,nz
飞机,n
飞机场,n
飞机票,n
飞架,v
飞溅,v
飞杰,nr
飞快,z
飞来,v
飞利浦,nz
飞鸟,n
飞瀑,n
飞桥,n
飞禽走兽,i
飞洒,v
飞沙走石,i
飞摄,nr
飞升,v
飞速,d,b
飞梭,v
飞天,nz,n
飞天号,nz
飞天奖,nz
飞艇,n
飞往,v
飞舞,v
飞翔,v,vn
飞行,v,vn,n
飞行公里数,n
飞行器,n
飞行日,n
飞行史,n
飞行员,n
飞旋,v
飞雪,n
飞亚达Ａ,nz
飞扬,v
飞鹰,n
飞越,v
飞跃,v,vn
飞跃性,n
飞云,nr
飞涨,v
飞舟,n
肥,a,v,n
肥城市,ns
肥东县,ns
肥力,n
肥力高,nz
肥料,n
肥嫩,a
肥牛,n
肥胖,a
肥胖型,b
肥胖症,n
肥瘦,n
肥水,n
肥田,n
肥沃,a
肥西县,ns
肥效,n
肥皂,n
肥猪,n
肥壮,a
匪,Dg
匪徒,n
诽谤,v
肺,n
肺癌,n
肺腑,n
肺腑之言,i
肺水肿,n
肺炎,n
废,Ag,v
废除,v
废话,n
废旧,b
废票,n
废品,n
废气,n
废弃,v,vn
废弃地,n
废弃物,n
废寝忘食,i
废水,n
废物,n
废墟,n
废渣,n
废止,v,vn
废纸,n
废黜,v
沸沸扬扬,i
沸腾,v
沸宇,nr
费,nr,v,n
费尔巴哈,nr
费工夫,l
费加罗,ns,nr
费解,a
费尽,v
费尽心机,i
费尽周折,l
费老,nr
费力,a
费时,a
费希尔,nr
费县,ns
费用,n
芬,j
芬芳,n
芬兰,ns
芬拿,nr
吩咐,vn,v
氛围,n
分,v,q,n,d,Vg,Dg
分币,n
分辨,v
分辨率,n
分别,d,v
分兵把口,l
分布,vn,v
分布面,n
分步,v,d,vd
分部,n
分册,n
分叉,n
分场,n
分厂,n
分成,v
分担,v
分得,v
分店,n
分队,n
分发,v,vn
分房,vn,v
分分秒秒,n
分赴,v
分割,v,vn
分割肉,n
分隔,v
分工,v,vn
分公司,n]nt,n
分管,v
分馆,n]nt
分光仪,n
分洪道,n
分红,n,vn
分划,v
分化,vn,v
分会,n,n]nt
分会场,n
分获,v
分级,v
分家,v
分拣,v
分交,v
分解,v
分界,v
分界线,n
分居,vn,v
分局,n,n]nt
分局长,n
分卷,v
分开,v,vn
分科,v
分块,v
分类,v,vn
分离,vn,v,vd
分离式,b
分理,v
分理处,n]nt,n
分立,v
分立式,b
分量,n
分列,v
分裂,vn,v
分裂主义,n
分流,vn,v
分流港,n
分流口,n
分毛沟,n
分泌,v
分娩,v
分秒必争,i
分明,d,a
分内事,n
分派,v
分配,v,vn
分配权,n
分批,d,v
分片,vd,v
分期,d
分期付款,l
分歧,n
分清,v
分区,vn,v
分权,v
分散,v,a,an,vn,ad,vd
分社,n]nt
分设,v
分手,v
分属,v
分数,n
分水岭,n
分税制,n
分送,v
分摊,vn,v
分庭抗礼,i
分头,d
分外,d,b
分外夺目,i
分外事,n
分为,v
分委会,j]nt,j
分文,n
分文不取,i
分析,vn,v
分析家,n
分享,v,vn
分销,vn,n
分晓,v
分校,n]nt
分行,n,n]nt
分选,vn,v
分业,v
分业制,n
分忧,v
分院,n,n]nt
分则,n
分支,n
分治,v
分钟,q
分钟时段,n
分子,n
分子生物学,n
分组,vn,vd
纷,Ag
纷呈,v
纷繁,a,an
纷飞,v
纷纷,d,z
纷纷扬扬,i
纷乱,ad
纷争,n
纷至沓来,i
纷纭,z
坟地,n
坟墓,n
焚化,v
焚毁,v
焚烧,v
汾河,ns
汾阳,ns
粉,n,b
粉笔,n
粉尘,n
粉代万年青,n
粉红,b
粉红色,n
粉墨登场,i
粉色,n
粉身碎骨,i
粉丝,n
粉碎,v
粉碎性,n
奋,Vg
奋笔直书,l
奋不顾身,i
奋翅展翼,l
奋斗,v,vn
奋发,v
奋发进取,l
奋发努力,l
奋发上进,l
奋发图强,i
奋发向上,l
奋发有为,l
奋发自救,l
奋进,v,vn
奋力,d
奋起,v
奋起直追,i
奋勇,d,nr
奋勇争先,v
奋战,v,vn
份,q,n
份额,n
份额油,n
份儿,n
份量,nz
愤,Vg
愤而辞职,l
愤愤,d
愤闷,a
愤然,d
粪,n
粪便,n
粪篓,n
粪土,n
丰,Ag,nr
丰碑,n
丰才,nr
丰采,n
丰产,vn,v
丰产期,n
丰富,a,v
丰富多采,i
丰富多彩,i
丰富化,vn
丰富性,n
丰镐,ns
丰功伟绩,l
丰功伟业,l
丰合,nz
丰厚,a
丰乐镇,ns
丰满,a
丰茂,a
丰美,a
丰年,n
丰润县,ns
丰赡,n
丰赡鲜活,l
丰盛,a
丰收,v,vn,nr,n
丰收年,n
丰收期,n
丰硕,a
丰台,ns
丰台区,ns
丰泰,nz
丰田,nz
丰县,ns
丰盈,a
丰裕,a
丰足,a
丰腴,a
丰稔,a
封,q,v,Ng,nr
封闭,v,vd,vn
封闭墙,n
封闭式,n
封存,v
封底,n
封顶,vn
封顶价,n
封堵,v
封关,v
封官许愿,i
封建,an,a
封建礼教,n
封建迷信,l
封建社会,l
封路,v
封门,v
封面,n
封山育林,i
封锁,vn,v
封条,n
封斋,n
封资修,j
封阻,v
枫,Ng,nr
枫华,nr
枫华园,nz
枫叶,n
蜂巢状,b
蜂蜜,n
蜂起,v
蜂王浆,n
蜂窝,n
蜂拥,v
蜂拥而来,l,v
蜂拥而上,i
峰,nr,q
峰会,n
峰加,nz
峰玖,nr
峰丽,nr
峰盛,nz
峰值,n
锋,nr,Ng
锋芒,n
风,n,nr,Ng
风剥雨蚀,l
风雹,n
风暴,n
风暴潮,n
风波,n
风采,n
风餐露宿,i
风潮,n
风尘,n
风尘仆仆,i
风吹草低见牛羊,l
风吹草动,i
风吹雨打,i
风吹雨淋,l
风调雨顺,i
风度,n
风帆,n
风范,n
风风火火,i
风风雨雨,i,n
风干,v
风格,n
风格各异,l
风骨,n
风光,n,a,v
风光片,n
风光旖旎,i
风寒,n
风和日丽,i
风华,n,nz,nr
风华绝代,i
风华正茂,i
风火轮,n
风机,n
风机厂,n]nt
风纪,n
风景,n
风景点,n
风景画,n
风景区,n
风景如画,i
风景树,n
风景线,n
风科,nr
风兰,nz,ns
风浪,n
风雷,nz
风冷,n,nz
风力,n
风铃,n
风流,a,an
风马牛不相及,i
风貌,n
风靡,v
风眠,nr
风能,n
风偏,n
风平浪静,i
风起云涌,i
风气,n
风枪,n
风情,n
风趣,a,an
风骚,n
风沙,n
风尚,n
风声,n
风湿,n
风湿病,n
风势,n
风霜,n
风霜雨雪,i
风水,n
风俗,n
风土人情,i
风味,n
风物,n
风险,n
风险关,n
风险金,n
风险性,n
风箱,n
风行,v
风雪,n
风雪交加,l
风雅,a
风言风语,i
风衣,n
风仪,n
风英,nr
风雨,n
风雨交加,i
风雨同舟,i
风雨无阻,i
风雨衣,n
风源,n
风云,n
风云变幻,i
风云二号,nz
风云际会,i
风云人物,i
风云突变,i
风韵,n
风疹,n
风烛残年,i
风姿,n
风筝,n
疯,v
疯狂,ad,a
疯狂性,n
疯牛病,n
疯子,n
烽,nr
烽火,n
烽火台,n
烽烟,n
逢,v
逢甘,nr
逢年过节,l
逢文,nr
逢凶化吉,i
逢滋,nr
冯,nr
冯·皮尔,nr
冯湾村,ns
缝,n,v
缝包,v
缝缝,n
缝缝补补,v
缝合,v
缝纫机,n
缝隙,n
缝制,vn,v
讽刺,vn,v
奉,v
奉公守法,i
奉化,ns
奉梅,nr
奉命,v
奉浦,nz
奉若神明,i
奉先,nr
奉献,v,vn,n
奉辛比克党,nz
奉行,v
奉养,v
奉迎,v
奉赠,v
奉洙,nr
凤,Ng,nr
凤安,nr
凤超,nr
凤岗,nr
凤冠,n
凤凰,n,nz
凤凰岭,ns
凤凰岭村,ns
凤凰山,ns
凤基,nr
凤俊,nr
凤兰,nr
凤莲,nr
凤林,nr
凤岭,nr
凤毛麟角,i
凤鸣,nr
凤起,nr
凤荣,nr
凤山,nr
凤桐,nr
凤头,n
凤尾,n
凤霞,nr
凤翔,nr
凤祥,nr
凤兴,nr
凤阳,ns
凤英,nr
凤玉,nr
凤章,nr
凤珍,nr
凤芝,nr
凤菁,nr
凤岐,nr
凤桢,nr
凤辇,n
佛,n
佛得角,ns
佛灯,nr
佛国,n
佛教,nz
佛教会,n]nt
佛教界,n
佛经,n
佛朗哥,nr
佛理,v
佛罗里达,ns
佛罗里达州,ns
佛门,n
佛蒙特州,ns
佛山,ns
佛山市,ns
佛释,n
佛手,n
佛像,n
佛学,n
佛爷,n
佛祖像,n
否,Vg,y
否定,v
否决,vn,v
否认,vn,v
否则,c
夫,Ng
夫妇,n
夫妻,n
夫妻情,n
夫人,n
夫生,nr
夫寿,nr
夫棠,nr
夫子,n,nr
夫子庙,ns
敷,v
敷设,v
敷衍,v
敷衍了事,i
敷衍塞责,i
肤,Ng
肤浅,a
肤色,n
孵,v
孵化,v
孵化器,n
扶,v,nr
扶保,v
扶持,vn,v
扶老携幼,i
扶贫,vn,v,n
扶贫办,j,j]nt
扶贫帮困,j
扶贫点,n
扶贫户,n
扶贫济困,l
扶贫款,n
扶贫团,n
扶贫网,n
扶贫县,n
扶贫助困,l
扶桑,n
扶手,n
扶梯,n
扶危济困,i
扶摇直上,i
扶优扶强,l
扶余,ns
扶正祛邪,i
扶植,vn,v
扶志,v
扶智,v
扶助,vn,v
拂,v
拂面,v
拂晓,t
拂袖而去,i
辐射,v,vn,n
辐射力,n
辐射面,n
辐射区,s
辐射式,d
辐射源,n
幅,q,Ng
幅度,n
幅面,n
幅员,n
幅员辽阔,i
氟,n
氟骨病,n
符,nr,Vg
符号,n
符合,v
符合条件者,n
伏,nr,v
伏尔加,ns
伏法,v
伏击,v
伏击圈,n
伏击战,n
伏牛,ns
伏牛山,ns
伏象,n
俘获,v
俘虏,n
服,q,v,j
服兵役,vn
服从,v
服法,vn
服气,v
服软,v
服饰,n
服输,v
服帖,a
服务,vn,v,n
服务处,n
服务点,n
服务队,n,n]nt
服务法,n
服务费,n
服务化,v
服务奖,n
服务经,n
服务年,n
服务牌,n
服务器,n
服务社,n]nt
服务所,n
服务台,n
服务厅,n
服务团,n
服务型,b,n
服务性,n
服务业,n
服务员,n
服务站,n
服务组,n
服刑,v
服刑犯,n
服药,v,vn
服药者,n
服役,v,vn
服用,v
服装,n
服装厂,n
浮,v
浮沉,v
浮船坞,n
浮雕,n
浮动,v,vn
浮动汇率,l
浮动汇率制,n
浮动性,n
浮泛,a
浮华,a
浮价款,n
浮价烟,n
浮夸,v
浮名,n
浮山,ns
浮思翩翩,l
浮现,v
浮想联翩,i
浮翼,ns
浮云,n
浮躁,a,an
涪陵,ns
涪陵市,ns
福,n,nr
福柏,nr
福才,nr
福昌,nr
福纯,nr
福村,nr
福东,nr
福恩,nr
